country year pop continent lifeExp gdpPercap
Cambodia 1952 4693836 Asia 39.417 368.4692856
Cambodia 1957 5322536 Asia 41.366 434.0383364
Cambodia 1962 6083619 Asia 43.415 496.9136476
Cambodia 1967 6960067 Asia 45.415 523.4323142
Cambodia 1972 7450606 Asia 40.317 421.6240257
Cambodia 1977 6978607 Asia 31.22 524.9721832
Cambodia 1982 7272485 Asia 50.957 624.4754784
Cambodia 1987 8371791 Asia 53.914 683.8955732
Cambodia 1992 10150094 Asia 55.803 682.3031755
Cambodia 1997 11782962 Asia 56.534 734.28517
Cambodia 2002 12926707 Asia 56.752 896.2260153
Cambodia 2007 14131858 Asia 59.723 1713.778686
Poland 1952 25730551 Europe 61.31 4029.329699
Poland 1957 28235346 Europe 65.77 4734.253019
Poland 1962 30329617 Europe 67.64 5338.752143
Poland 1967 31785378 Europe 69.61 6557.152776
Poland 1972 33039545 Europe 70.85 8006.506993
Poland 1977 34621254 Europe 70.67 9508.141454
Poland 1982 36227381 Europe 71.32 8451.531004
Poland 1987 37740710 Europe 70.98 9082.351172
Poland 1992 38370697 Europe 70.99 7738.881247
Poland 1997 38654957 Europe 72.75 10159.58368
Poland 2002 38625976 Europe 74.67 12002.23908
Poland 2007 38518241 Europe 75.563 15389.92468
Rwanda 1952 2534927 Africa 40 493.3238752
Rwanda 1957 2822082 Africa 41.5 540.2893983
Rwanda 1962 3051242 Africa 43 597.4730727
Rwanda 1967 3451079 Africa 44.1 510.9637142
Rwanda 1972 3992121 Africa 44.6 590.5806638
Rwanda 1977 4657072 Africa 45 670.0806011
Rwanda 1982 5507565 Africa 46.218 881.5706467
Rwanda 1987 6349365 Africa 44.02 847.991217
Rwanda 1992 7290203 Africa 23.599 737.0685949
Rwanda 1997 7212583 Africa 36.087 589.9445051
Rwanda 2002 7852401 Africa 43.413 785.6537648
Rwanda 2007 8860588 Africa 46.242 863.0884639
